0:0:0:0:0:0:0:1 - - [19/Sep/2023:08:48:28 +0900] "GET /controller/boardList.do HTTP/1.1" 200 8298
127.0.0.1 - - [19/Sep/2023:09:01:51 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:05:56 +0900] "GET /controller/ HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:17:22 +0900] "GET /controller/loginForm.do HTTP/1.1" 200 4835
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:17:28 +0900] "POST /controller/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:17:28 +0900] "GET /controller/loginForm.do HTTP/1.1" 200 4895
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:17:57 +0900] "GET /controller/ HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:19:00 +0900] "GET /controller/ HTTP/1.1" 200 2845
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:23:20 +0900] "GET /controller/ HTTP/1.1" 200 3010
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:23:52 +0900] "GET /controller/ HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:23:55 +0900] "GET /controller/ HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:43:52 +0900] "GET /controller/ HTTP/1.1" 200 3197
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:43:52 +0900] "GET /controller/resources/images/main.jsp HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:43:54 +0900] "GET /controller/ HTTP/1.1" 200 3197
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:43:54 +0900] "GET /controller/resources/images/main.jsp HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:43:55 +0900] "GET /controller/ HTTP/1.1" 200 3197
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:43:55 +0900] "GET /controller/resources/images/main.jsp HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:43:55 +0900] "GET /controller/ HTTP/1.1" 200 3197
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:43:55 +0900] "GET /controller/resources/images/main.jsp HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:43:55 +0900] "GET /controller/ HTTP/1.1" 200 3197
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:43:55 +0900] "GET /controller/resources/images/main.jsp HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:44:02 +0900] "GET /controller/ HTTP/1.1" 200 3197
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:44:02 +0900] "GET /controller/resources/images/main.jsp HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:44:02 +0900] "GET /controller/ HTTP/1.1" 200 3197
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:44:02 +0900] "GET /controller/resources/images/main.jsp HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:44:02 +0900] "GET /controller/ HTTP/1.1" 200 3197
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:44:02 +0900] "GET /controller/resources/images/main.jsp HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:44:02 +0900] "GET /controller/ HTTP/1.1" 200 3197
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:44:02 +0900] "GET /controller/resources/images/main.jsp HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:44:02 +0900] "GET /controller/ HTTP/1.1" 200 3197
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:44:03 +0900] "GET /controller/resources/images/main.jsp HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:44:03 +0900] "GET /controller/ HTTP/1.1" 200 3197
0:0:0:0:0:0:0:1 - - [19/Sep/2023:09:44:03 +0900] "GET /controller/resources/images/main.jsp HTTP/1.1" 404 798
